date,report_org_code,org_code,activity,activity_short,state,township,beneficiaries,unique_beneficiaries
01/01/2021,org_2690,org_5677,Provide monthly cash-based transfers,food distribution,Kachin,Waingmaw,264,Yes
01/01/2021,org_2690,org_5677,Provide monthly cash-based transfers,food distribution,Kachin,Waingmaw,344,Yes
01/01/2021,org_2690,org_5677,Provide monthly cash-based transfers,food distribution,Kachin,Waingmaw,336,Yes
01/01/2021,org_2690,org_5677,Provide monthly cash-based transfers,food distribution,Kachin,Waingmaw,236,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mansi,594,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mansi,503,Yes
01/01/2021,org_2690,org_6130,Provide monthly cash-based transfers,food distribution,Kachin,Mansi,2397,Yes
01/01/2021,org_2690,org_8004,Provide monthly cash-based transfers,food distribution,Kachin,Mansi,676,Yes
01/01/2021,org_2254,org_2254,Provide support for income generation,kitchen garden kits,Rakhine,Buthidaung,1252,Yes
01/01/2021,org_9632,org_9632,Cash for Work / Food for Assets,food_cash for work_assets,Rakhine,Maungdaw,413,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,154,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,510,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,712,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,368,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,389,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,250,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,632,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,213,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,399,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,322,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,417,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,291,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,160,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,323,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,199,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,811,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,1025,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,37,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Sittwe,601,Yes
01/01/2021,org_2825,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Sittwe,545,Yes
01/01/2021,org_2825,org_2825,Cash for Work / Food for Assets,food_cash for work_assets,Rakhine,Sittwe,577,Yes
01/01/2021,org_2690,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Sittwe,13828,Yes
01/01/2021,org_2690,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Sittwe,507,Yes
01/01/2021,org_2690,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Sittwe,35,Yes
01/01/2021,org_2690,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,144,Yes
01/01/2021,org_2690,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,5100,Yes
01/01/2021,org_2690,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,9230,Yes
01/01/2021,org_2690,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,6291,Yes
01/01/2021,org_2690,org_2825,Provide monthly cash-based transfers,food distribution,Rakhine,Pauktaw,2649,Yes
01/01/2021,org_7298,org_7298,Provide fishery kits,fishery kits,Rakhine,Pauktaw,536,No (beneficiary is also receiving other assistant)
